,Tweet,tokenization,filter_tokens,normalized,stemmed
69,pemerintah pusat melalui pt sarana multi infrastruktur persero telah mencairkan dana pen kepada dki jakarta sebesar rp triliun pada lalu dana sebanyak rp triliun dialokasikan untuk penanggulangan banjir yang dikerjakan selama tiga tahun dari,"['pemerintah', 'pusat', 'melalui', 'pt', 'sarana', 'multi', 'infrastruktur', 'persero', 'telah', 'mencairkan', 'dana', 'pen', 'kepada', 'dki', 'jakarta', 'sebesar', 'rp', 'triliun', 'pada', 'lalu', 'dana', 'sebanyak', 'rp', 'triliun', 'dialokasikan', 'untuk', 'penanggulangan', 'banjir', 'yang', 'dikerjakan', 'selama', 'tiga', 'tahun', 'dari']","['pemerintah', 'pusat', 'pt', 'sarana', 'multi', 'infrastruktur', 'persero', 'mencairkan', 'dana', 'dki', 'jakarta', 'rp', 'triliun', 'dana', 'rp', 'triliun', 'dialokasikan', 'penanggulangan', 'banjir']","['pemerintah', 'pusat', 'pt', 'sarana', 'multi', 'infrastruktur', 'persero', 'mencairkan', 'dana', 'dki', 'jakarta', 'rp', 'triliun', 'dana', 'rp', 'triliun', 'dialokasikan', 'penanggulangan', 'banjir']","['perintah', 'pusat', 'pt', 'sarana', 'multi', 'infrastruktur', 'persero', 'cair', 'dana', 'dki', 'jakarta', 'rp', 'triliun', 'dana', 'rp', 'triliun', 'alokasi', 'tanggulang', 'banjir']"
70,rt hingga saat ini program ramadhan berbagi front persaudaraan islam fpi telah mendistribusikan box lebih nasi kebuli mand,"['rt', 'hingga', 'saat', 'ini', 'program', 'ramadhan', 'berbagi', 'front', 'persaudaraan', 'islam', 'fpi', 'telah', 'mendistribusikan', 'box', 'lebih', 'nasi', 'kebuli', 'mand']","['program', 'ramadhan', 'berbagi', 'front', 'persaudaraan', 'islam', 'fpi', 'mendistribusikan', 'box', 'nasi', 'kebuli', 'mand']","['program', 'ramadhan', 'berbagi', 'front', 'persaudaraan', 'islam', 'fpi', 'mendistribusikan', 'box', 'nasi', 'kebuli', 'mand']","['program', 'ramadhan', 'bagi', 'front', 'saudara', 'islam', 'fpi', 'distribusi', 'box', 'nasi', 'kebuli', 'mand']"
71,rt band metal slipknot mengumumkan akan tampil di acara musik hammersonic yang akan diselenggarakan di jakarta,"['rt', 'band', 'metal', 'slipknot', 'mengumumkan', 'akan', 'tampil', 'di', 'acara', 'musik', 'hammersonic', 'yang', 'akan', 'diselenggarakan', 'di', 'jakarta']","['band', 'metal', 'slipknot', 'mengumumkan', 'tampil', 'acara', 'musik', 'hammersonic', 'diselenggarakan', 'jakarta']","['band', 'metal', 'slipknot', 'mengumumkan', 'tampil', 'acara', 'musik', 'hammersonic', 'diselenggarakan', 'jakarta']","['band', 'metal', 'slipknot', 'umum', 'tampil', 'acara', 'musik', 'hammersonic', 'selenggara', 'jakarta']"
72,rt halonaa pegal lesu butuh pijat traditional plus bo dan berada di kota tendean now ready now start hub,"['rt', 'halonaa', 'pegal', 'lesu', 'butuh', 'pijat', 'traditional', 'plus', 'bo', 'dan', 'berada', 'di', 'kota', 'tendean', 'now', 'ready', 'now', 'start', 'hub']","['halonaa', 'pegal', 'lesu', 'butuh', 'pijat', 'traditional', 'plus', 'bo', 'kota', 'tendean', 'now', 'ready', 'now', 'start', 'hub']","['halonaa', 'pegal', 'lesu', 'butuh', 'pijat', 'traditional', 'plus', 'bo', 'kota', 'tendean', 'now', 'ready', 'now', 'start', 'hub']","['halonaa', 'pegal', 'lesu', 'butuh', 'pijat', 'traditional', 'plus', 'bo', 'kota', 'tendean', 'now', 'ready', 'now', 'start', 'hub']"
73,rt march jakarta indonesia tickets info,"['rt', 'march', 'jakarta', 'indonesia', 'tickets', 'info']","['march', 'jakarta', 'indonesia', 'tickets', 'info']","['march', 'jakarta', 'indonesia', 'tickets', 'info']","['march', 'jakarta', 'indonesia', 'tickets', 'info']"
74,nts ciao nctzen mau jin nct wayv yg trusted rate rendah amp admin ramah disini tempatnyaa rate cuma amp jakarta timur member aktif can personal order amp many testi link di rep,"['nts', 'ciao', 'nctzen', 'mau', 'jin', 'nct', 'wayv', 'yg', 'trusted', 'rate', 'rendah', 'amp', 'admin', 'ramah', 'disini', 'tempatnyaa', 'rate', 'cuma', 'amp', 'jakarta', 'timur', 'member', 'aktif', 'can', 'personal', 'order', 'amp', 'many', 'testi', 'link', 'di', 'rep']","['nts', 'ciao', 'nctzen', 'jin', 'nct', 'wayv', 'trusted', 'rate', 'rendah', 'admin', 'ramah', 'tempatnyaa', 'rate', 'jakarta', 'timur', 'member', 'aktif', 'can', 'personal', 'order', 'many', 'testi', 'link', 'rep']","['nts', 'ciao', 'nctzen', 'jin', 'nct', 'wayv', 'trusted', 'rate', 'rendah', 'admin', 'ramah', 'tempatnyaa', 'rate', 'jakarta', 'timur', 'member', 'aktif', 'can', 'personal', 'order', 'many', 'testi', 'link', 'rep']","['nts', 'ciao', 'nctzen', 'jin', 'nct', 'wayv', 'trusted', 'rate', 'rendah', 'admin', 'ramah', 'tempatnyaa', 'rate', 'jakarta', 'timur', 'member', 'aktif', 'can', 'personal', 'order', 'many', 'testi', 'link', 'rep']"
75,saya tidak ingin pelayanan rumah sakit untuk prajurit tidak maksimal jangan biarkan prajurit merasa sendirian kata pak moel saat bertemu asosiasi rumah sakit kemhan tnipolri di gedung bina graha jakarta moeldoko,"['saya', 'tidak', 'ingin', 'pelayanan', 'rumah', 'sakit', 'untuk', 'prajurit', 'tidak', 'maksimal', 'jangan', 'biarkan', 'prajurit', 'merasa', 'sendirian', 'kata', 'pak', 'moel', 'saat', 'bertemu', 'asosiasi', 'rumah', 'sakit', 'kemhan', 'tnipolri', 'di', 'gedung', 'bina', 'graha', 'jakarta', 'moeldoko']","['pelayanan', 'rumah', 'sakit', 'prajurit', 'maksimal', 'biarkan', 'prajurit', 'moel', 'bertemu', 'asosiasi', 'rumah', 'sakit', 'kemhan', 'tnipolri', 'gedung', 'bina', 'graha', 'jakarta', 'moeldoko']","['pelayanan', 'rumah', 'sakit', 'prajurit', 'maksimal', 'biarkan', 'prajurit', 'moel', 'bertemu', 'asosiasi', 'rumah', 'sakit', 'kemhan', 'tnipolri', 'gedung', 'bina', 'graha', 'jakarta', 'moeldoko']","['layan', 'rumah', 'sakit', 'prajurit', 'maksimal', 'biar', 'prajurit', 'moel', 'temu', 'asosiasi', 'rumah', 'sakit', 'kemhan', 'tnipolri', 'gedung', 'bina', 'graha', 'jakarta', 'moeldoko']"
76,rt lestari itu hanya berjarak hari dari edy prasetyo berungkap tanya ternyata gubernur telah bertemu dengan perwakilan tujuh,"['rt', 'lestari', 'itu', 'hanya', 'berjarak', 'hari', 'dari', 'edy', 'prasetyo', 'berungkap', 'tanya', 'ternyata', 'gubernur', 'telah', 'bertemu', 'dengan', 'perwakilan', 'tujuh']","['lestari', 'berjarak', 'edy', 'prasetyo', 'berungkap', 'gubernur', 'bertemu', 'perwakilan', 'tujuh']","['lestari', 'berjarak', 'edy', 'prasetyo', 'berungkap', 'gubernur', 'bertemu', 'perwakilan', 'tujuh']","['lestari', 'jarak', 'edy', 'prasetyo', 'ungkap', 'gubernur', 'temu', 'wakil', 'tujuh']"
77,lowongan jaga cafe di di jakarta utara,"['lowongan', 'jaga', 'cafe', 'di', 'di', 'jakarta', 'utara']","['lowongan', 'jaga', 'cafe', 'jakarta', 'utara']","['lowongan', 'jaga', 'cafe', 'jakarta', 'utara']","['lowong', 'jaga', 'cafe', 'jakarta', 'utara']"
78,cari tanah kavling untuk bangun kebun buah dijual cepat hubungi di jual kavling tanah di kavling desa wisata kebun buah saung estetik dekat jakarta,"['cari', 'tanah', 'kavling', 'untuk', 'bangun', 'kebun', 'buah', 'dijual', 'cepat', 'hubungi', 'di', 'jual', 'kavling', 'tanah', 'di', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'dekat', 'jakarta']","['cari', 'tanah', 'kavling', 'bangun', 'kebun', 'buah', 'dijual', 'cepat', 'hubungi', 'jual', 'kavling', 'tanah', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'jakarta']","['cari', 'tanah', 'kavling', 'bangun', 'kebun', 'buah', 'dijual', 'cepat', 'hubungi', 'jual', 'kavling', 'tanah', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'jakarta']","['cari', 'tanah', 'kavling', 'bangun', 'kebun', 'buah', 'jual', 'cepat', 'hubung', 'jual', 'kavling', 'tanah', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'jakarta']"
79,rt terjadi kebakaran pd apartemen palazo pkl di jl apron kel kebon kosong kec kemayoran titik kenal polsek kemay,"['rt', 'terjadi', 'kebakaran', 'pd', 'apartemen', 'palazo', 'pkl', 'di', 'jl', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'kemayoran', 'titik', 'kenal', 'polsek', 'kemay']","['kebakaran', 'pd', 'apartemen', 'palazo', 'pkl', 'jl', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'kemayoran', 'titik', 'kenal', 'polsek', 'kemay']","['kebakaran', 'pd', 'apartemen', 'palazo', 'pkl', 'jalan', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'kemayoran', 'titik', 'kenal', 'polsek', 'kemay']","['bakar', 'pd', 'apartemen', 'palazo', 'pkl', 'jalan', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'mayor', 'titik', 'kenal', 'polsek', 'kemay']"
80,rt teroris sumbar bersenjatakan golok sudah memasuki jakarta mau gulingkan kekuasaan jokowi drama anak negeri kian luc,"['rt', 'teroris', 'sumbar', 'bersenjatakan', 'golok', 'sudah', 'memasuki', 'jakarta', 'mau', 'gulingkan', 'kekuasaan', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']","['teroris', 'sumbar', 'bersenjatakan', 'golok', 'memasuki', 'jakarta', 'gulingkan', 'kekuasaan', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']","['teroris', 'sumbar', 'bersenjatakan', 'golok', 'memasuki', 'jakarta', 'gulingkan', 'kekuasaan', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']","['teroris', 'sumbar', 'senjata', 'golok', 'pasuk', 'jakarta', 'guling', 'kuasa', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']"
81,rt menjelang natal di jkt slm tiga hari membuat pagelaran christmas carol di bulan ramadhan pesan gubernur dki jakarta,"['rt', 'menjelang', 'natal', 'di', 'jkt', 'slm', 'tiga', 'hari', 'membuat', 'pagelaran', 'christmas', 'carol', 'di', 'bulan', 'ramadhan', 'pesan', 'gubernur', 'dki', 'jakarta']","['menjelang', 'natal', 'jkt', 'slm', 'pagelaran', 'christmas', 'carol', 'ramadhan', 'pesan', 'gubernur', 'dki', 'jakarta']","['menjelang', 'natal', 'jakarta', 'slm', 'pagelaran', 'christmas', 'carol', 'ramadhan', 'pesan', 'gubernur', 'dki', 'jakarta']","['jelang', 'natal', 'jakarta', 'slm', 'pagelaran', 'christmas', 'carol', 'ramadhan', 'pesan', 'gubernur', 'dki', 'jakarta']"
82,rt alhamdulillah ayooo warga jakarta kita ramaikan,"['rt', 'alhamdulillah', 'ayooo', 'warga', 'jakarta', 'kita', 'ramaikan']","['alhamdulillah', 'ayooo', 'warga', 'jakarta', 'ramaikan']","['alhamdulillah', 'ayooo', 'warga', 'jakarta', 'ramaikan']","['alhamdulillah', 'ayooo', 'warga', 'jakarta', 'ramai']"
83,rt nails want to sellwts jual rugi seventeens movie power of love tiket baris bagian tengah di cgv pacific pla,"['rt', 'nails', 'want', 'to', 'sellwts', 'jual', 'rugi', 'seventeens', 'movie', 'power', 'of', 'love', 'tiket', 'baris', 'bagian', 'tengah', 'di', 'cgv', 'pacific', 'pla']","['nails', 'want', 'to', 'sellwts', 'jual', 'rugi', 'seventeens', 'movie', 'power', 'of', 'love', 'tiket', 'baris', 'cgv', 'pacific', 'pla']","['nails', 'want', 'to', 'sellwts', 'jual', 'rugi', 'seventeens', 'movie', 'power', 'of', 'love', 'tiket', 'baris', 'cgv', 'pacific', 'pla']","['nails', 'want', 'to', 'sellwts', 'jual', 'rugi', 'seventeens', 'movie', 'power', 'of', 'love', 'tiket', 'baris', 'cgv', 'pacific', 'pla']"
84,rt org orang jakarta mungkin tidak tahu bahwa kota ini sedang mengalami kehilangan besar jakarta kehilangan rasdullah pemimpin,"['rt', 'org', 'orang', 'jakarta', 'mungkin', 'tidak', 'tahu', 'bahwa', 'kota', 'ini', 'sedang', 'mengalami', 'kehilangan', 'besar', 'jakarta', 'kehilangan', 'rasdullah', 'pemimpin']","['org', 'orang', 'jakarta', 'kota', 'mengalami', 'kehilangan', 'jakarta', 'kehilangan', 'rasdullah', 'pemimpin']","['orang', 'orang', 'jakarta', 'kota', 'mengalami', 'kehilangan', 'jakarta', 'kehilangan', 'rasdullah', 'pemimpin']","['orang', 'orang', 'jakarta', 'kota', 'alami', 'hilang', 'jakarta', 'hilang', 'rasdullah', 'pimpin']"
85,selalu mengerjakan program yang nyeleneh dan tidak tepat sasaran alhasil menjelang jabatan sebagai gubernur jakarta akan berakhir pak anies malah kelabakan seperti ini kata anggota komisi dprd dki jakarta itu,"['selalu', 'mengerjakan', 'program', 'yang', 'nyeleneh', 'dan', 'tidak', 'tepat', 'sasaran', 'alhasil', 'menjelang', 'jabatan', 'sebagai', 'gubernur', 'jakarta', 'akan', 'berakhir', 'pak', 'anies', 'malah', 'kelabakan', 'seperti', 'ini', 'kata', 'anggota', 'komisi', 'dprd', 'dki', 'jakarta', 'itu']","['program', 'nyeleneh', 'sasaran', 'alhasil', 'menjelang', 'jabatan', 'gubernur', 'jakarta', 'anies', 'kelabakan', 'anggota', 'komisi', 'dprd', 'dki', 'jakarta']","['program', 'nyeleneh', 'sasaran', 'alhasil', 'menjelang', 'jabatan', 'gubernur', 'jakarta', 'anies', 'kelabakan', 'anggota', 'komisi', 'dprd', 'dki', 'jakarta']","['program', 'nyeleneh', 'sasar', 'alhasil', 'jelang', 'jabat', 'gubernur', 'jakarta', 'anies', 'laba', 'anggota', 'komisi', 'dprd', 'dki', 'jakarta']"
86,bpn memasuki hari ke di bulan ramadan menteri agraria dan tata ruangkepala badan pertanahan nasional atrbpn sofyan djalil melakukan silaturahmi dengan masyarakat aceh jakarta di wisma taman iskandar muda jakarta,"['bpn', 'memasuki', 'hari', 'ke', 'di', 'bulan', 'ramadan', 'menteri', 'agraria', 'dan', 'tata', 'ruangkepala', 'badan', 'pertanahan', 'nasional', 'atrbpn', 'sofyan', 'djalil', 'melakukan', 'silaturahmi', 'dengan', 'masyarakat', 'aceh', 'jakarta', 'di', 'wisma', 'taman', 'iskandar', 'muda', 'jakarta']","['bpn', 'memasuki', 'ramadan', 'menteri', 'agraria', 'tata', 'ruangkepala', 'badan', 'pertanahan', 'nasional', 'atrbpn', 'sofyan', 'djalil', 'silaturahmi', 'masyarakat', 'aceh', 'jakarta', 'wisma', 'taman', 'iskandar', 'muda', 'jakarta']","['bpn', 'memasuki', 'ramadan', 'menteri', 'agraria', 'tata', 'ruangkepala', 'badan', 'pertanahan', 'nasional', 'atrbpn', 'sofyan', 'djalil', 'silaturahmi', 'masyarakat', 'aceh', 'jakarta', 'wisma', 'taman', 'iskandar', 'muda', 'jakarta']","['bpn', 'pasuk', 'ramadan', 'menteri', 'agraria', 'tata', 'ruangkepala', 'badan', 'tanah', 'nasional', 'atrbpn', 'sofyan', 'djalil', 'silaturahmi', 'masyarakat', 'aceh', 'jakarta', 'wisma', 'taman', 'iskandar', 'muda', 'jakarta']"
87,rt hingga saat ini program ramadhan berbagi front persaudaraan islam fpi telah mendistribusikan box lebih nasi kebuli mand,"['rt', 'hingga', 'saat', 'ini', 'program', 'ramadhan', 'berbagi', 'front', 'persaudaraan', 'islam', 'fpi', 'telah', 'mendistribusikan', 'box', 'lebih', 'nasi', 'kebuli', 'mand']","['program', 'ramadhan', 'berbagi', 'front', 'persaudaraan', 'islam', 'fpi', 'mendistribusikan', 'box', 'nasi', 'kebuli', 'mand']","['program', 'ramadhan', 'berbagi', 'front', 'persaudaraan', 'islam', 'fpi', 'mendistribusikan', 'box', 'nasi', 'kebuli', 'mand']","['program', 'ramadhan', 'bagi', 'front', 'saudara', 'islam', 'fpi', 'distribusi', 'box', 'nasi', 'kebuli', 'mand']"
88,semakin dekat dengan anda untuk memberikan layanan purna jual fingerspot hadir diberbagai lokasi jakarta bandung bekasi surabaya malang yogyakarta purwokerto semarang solo denpasar medan balikpapan banjarmasin pontianak,"['semakin', 'dekat', 'dengan', 'anda', 'untuk', 'memberikan', 'layanan', 'purna', 'jual', 'fingerspot', 'hadir', 'diberbagai', 'lokasi', 'jakarta', 'bandung', 'bekasi', 'surabaya', 'malang', 'yogyakarta', 'purwokerto', 'semarang', 'solo', 'denpasar', 'medan', 'balikpapan', 'banjarmasin', 'pontianak']","['layanan', 'purna', 'jual', 'fingerspot', 'hadir', 'diberbagai', 'lokasi', 'jakarta', 'bandung', 'bekasi', 'surabaya', 'malang', 'yogyakarta', 'purwokerto', 'semarang', 'solo', 'denpasar', 'medan', 'balikpapan', 'banjarmasin', 'pontianak']","['layanan', 'purna', 'jual', 'fingerspot', 'hadir', 'diberbagai', 'lokasi', 'jakarta', 'bandung', 'bekasi', 'surabaya', 'malang', 'yogyakarta', 'purwokerto', 'semarang', 'solo', 'denpasar', 'medan', 'balikpapan', 'banjarmasin', 'pontianak']","['layan', 'purna', 'jual', 'fingerspot', 'hadir', 'bagai', 'lokasi', 'jakarta', 'bandung', 'bekas', 'surabaya', 'malang', 'yogyakarta', 'purwokerto', 'semarang', 'solo', 'denpasar', 'medan', 'balikpapan', 'banjarmasin', 'pontianak']"
89,rt hingga saat ini program ramadhan berbagi front persaudaraan islam fpi telah mendistribusikan box lebih nasi kebuli mand,"['rt', 'hingga', 'saat', 'ini', 'program', 'ramadhan', 'berbagi', 'front', 'persaudaraan', 'islam', 'fpi', 'telah', 'mendistribusikan', 'box', 'lebih', 'nasi', 'kebuli', 'mand']","['program', 'ramadhan', 'berbagi', 'front', 'persaudaraan', 'islam', 'fpi', 'mendistribusikan', 'box', 'nasi', 'kebuli', 'mand']","['program', 'ramadhan', 'berbagi', 'front', 'persaudaraan', 'islam', 'fpi', 'mendistribusikan', 'box', 'nasi', 'kebuli', 'mand']","['program', 'ramadhan', 'bagi', 'front', 'saudara', 'islam', 'fpi', 'distribusi', 'box', 'nasi', 'kebuli', 'mand']"
90,rt teroris sumbar bersenjatakan golok sudah memasuki jakarta mau gulingkan kekuasaan jokowi drama anak negeri kian luc,"['rt', 'teroris', 'sumbar', 'bersenjatakan', 'golok', 'sudah', 'memasuki', 'jakarta', 'mau', 'gulingkan', 'kekuasaan', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']","['teroris', 'sumbar', 'bersenjatakan', 'golok', 'memasuki', 'jakarta', 'gulingkan', 'kekuasaan', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']","['teroris', 'sumbar', 'bersenjatakan', 'golok', 'memasuki', 'jakarta', 'gulingkan', 'kekuasaan', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']","['teroris', 'sumbar', 'senjata', 'golok', 'pasuk', 'jakarta', 'guling', 'kuasa', 'jokowi', 'drama', 'anak', 'negeri', 'kian', 'luc']"
91,rt terjadi kebakaran pd apartemen palazo pkl di jl apron kel kebon kosong kec kemayoran titik kenal polsek kemay,"['rt', 'terjadi', 'kebakaran', 'pd', 'apartemen', 'palazo', 'pkl', 'di', 'jl', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'kemayoran', 'titik', 'kenal', 'polsek', 'kemay']","['kebakaran', 'pd', 'apartemen', 'palazo', 'pkl', 'jl', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'kemayoran', 'titik', 'kenal', 'polsek', 'kemay']","['kebakaran', 'pd', 'apartemen', 'palazo', 'pkl', 'jalan', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'kemayoran', 'titik', 'kenal', 'polsek', 'kemay']","['bakar', 'pd', 'apartemen', 'palazo', 'pkl', 'jalan', 'apron', 'kel', 'kebon', 'kosong', 'kec', 'mayor', 'titik', 'kenal', 'polsek', 'kemay']"
92,pengaruh disiplin kerja dan stres kerja terhadap kinerja dengan motivasi kerja sebagai variabel intervening studi pada karyawan balai sidang jakarta convention center,"['pengaruh', 'disiplin', 'kerja', 'dan', 'stres', 'kerja', 'terhadap', 'kinerja', 'dengan', 'motivasi', 'kerja', 'sebagai', 'variabel', 'intervening', 'studi', 'pada', 'karyawan', 'balai', 'sidang', 'jakarta', 'convention', 'center']","['pengaruh', 'disiplin', 'kerja', 'stres', 'kerja', 'kinerja', 'motivasi', 'kerja', 'variabel', 'intervening', 'studi', 'karyawan', 'balai', 'sidang', 'jakarta', 'convention', 'center']","['pengaruh', 'disiplin', 'kerja', 'stres', 'kerja', 'kinerja', 'motivasi', 'kerja', 'variabel', 'intervening', 'studi', 'karyawan', 'balai', 'sidang', 'jakarta', 'convention', 'center']","['pengaruh', 'disiplin', 'kerja', 'stres', 'kerja', 'kerja', 'motivasi', 'kerja', 'variabel', 'intervening', 'studi', 'karyawan', 'balai', 'sidang', 'jakarta', 'convention', 'center']"
93,rt jakarta grogol selamat pagi watele,"['rt', 'jakarta', 'grogol', 'selamat', 'pagi', 'watele']","['jakarta', 'grogol', 'selamat', 'pagi', 'watele']","['jakarta', 'grogol', 'selamat', 'pagi', 'watele']","['jakarta', 'grogol', 'selamat', 'pagi', 'watele']"
94,berkabar ya kalau mau ke jakarta arep tak cubit cangkem,"['berkabar', 'ya', 'kalau', 'mau', 'ke', 'jakarta', 'arep', 'tak', 'cubit', 'cangkem']","['berkabar', 'jakarta', 'arep', 'cubit', 'cangkem']","['berkabar', 'jakarta', 'arep', 'cubit', 'cangkem']","['kabar', 'jakarta', 'arep', 'cubit', 'cangkem']"
95,saking otak nya ga mampu dan ga punya gagasan akhirnya ngibul ngarang cerita permukaan tanah jakarta udah naek buka data di urug kaga di timbun kaga kok bisa naek permukaan tanahnya yang naekin permukaan tanahnya jin apa tuyul ancol,"['saking', 'otak', 'nya', 'ga', 'mampu', 'dan', 'ga', 'punya', 'gagasan', 'akhirnya', 'ngibul', 'ngarang', 'cerita', 'permukaan', 'tanah', 'jakarta', 'udah', 'naek', 'buka', 'data', 'di', 'urug', 'kaga', 'di', 'timbun', 'kaga', 'kok', 'bisa', 'naek', 'permukaan', 'tanahnya', 'yang', 'naekin', 'permukaan', 'tanahnya', 'jin', 'apa', 'tuyul', 'ancol']","['saking', 'otak', 'gagasan', 'ngibul', 'ngarang', 'cerita', 'permukaan', 'tanah', 'jakarta', 'udah', 'naek', 'buka', 'data', 'urug', 'kaga', 'timbun', 'kaga', 'naek', 'permukaan', 'tanahnya', 'naekin', 'permukaan', 'tanahnya', 'jin', 'tuyul', 'ancol']","['saking', 'otak', 'gagasan', 'ngibul', 'ngarang', 'cerita', 'permukaan', 'tanah', 'jakarta', 'udah', 'naek', 'buka', 'data', 'urug', 'kaga', 'timbun', 'kaga', 'naek', 'permukaan', 'tanahnya', 'naekin', 'permukaan', 'tanahnya', 'jin', 'tuyul', 'ancol']","['saking', 'otak', 'gagas', 'ngibul', 'ngarang', 'cerita', 'muka', 'tanah', 'jakarta', 'udah', 'naek', 'buka', 'data', 'urug', 'kaga', 'timbun', 'kaga', 'naek', 'muka', 'tanah', 'naekin', 'muka', 'tanah', 'jin', 'tuyul', 'ancol']"
96,cari tanah kavling untuk bangun kebun buah terjangkau hubungi kavling tanah dijual murah di kavling desa wisata kebun buah saung estetik dekat jakarta,"['cari', 'tanah', 'kavling', 'untuk', 'bangun', 'kebun', 'buah', 'terjangkau', 'hubungi', 'kavling', 'tanah', 'dijual', 'murah', 'di', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'dekat', 'jakarta']","['cari', 'tanah', 'kavling', 'bangun', 'kebun', 'buah', 'terjangkau', 'hubungi', 'kavling', 'tanah', 'dijual', 'murah', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'jakarta']","['cari', 'tanah', 'kavling', 'bangun', 'kebun', 'buah', 'terjangkau', 'hubungi', 'kavling', 'tanah', 'dijual', 'murah', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'jakarta']","['cari', 'tanah', 'kavling', 'bangun', 'kebun', 'buah', 'jangkau', 'hubung', 'kavling', 'tanah', 'jual', 'murah', 'kavling', 'desa', 'wisata', 'kebun', 'buah', 'saung', 'estetik', 'jakarta']"
97,rt march jakarta indonesia tickets info,"['rt', 'march', 'jakarta', 'indonesia', 'tickets', 'info']","['march', 'jakarta', 'indonesia', 'tickets', 'info']","['march', 'jakarta', 'indonesia', 'tickets', 'info']","['march', 'jakarta', 'indonesia', 'tickets', 'info']"
98,kenneth mengatakan pemerintah pusat selalu mencoba menjalin komunikasi atau kolaborasi dalam membenahi permasalahan di jakarta selama anies menjabat namun program yang dibuat anies kerap kali tidak sejalan,"['kenneth', 'mengatakan', 'pemerintah', 'pusat', 'selalu', 'mencoba', 'menjalin', 'komunikasi', 'atau', 'kolaborasi', 'dalam', 'membenahi', 'permasalahan', 'di', 'jakarta', 'selama', 'anies', 'menjabat', 'namun', 'program', 'yang', 'dibuat', 'anies', 'kerap', 'kali', 'tidak', 'sejalan']","['kenneth', 'pemerintah', 'pusat', 'mencoba', 'menjalin', 'komunikasi', 'kolaborasi', 'membenahi', 'permasalahan', 'jakarta', 'anies', 'menjabat', 'program', 'anies', 'kerap', 'kali', 'sejalan']","['kenneth', 'pemerintah', 'pusat', 'mencoba', 'menjalin', 'komunikasi', 'kolaborasi', 'membenahi', 'permasalahan', 'jakarta', 'anies', 'menjabat', 'program', 'anies', 'kerap', 'kali', 'sejalan']","['kenneth', 'perintah', 'pusat', 'coba', 'jalin', 'komunikasi', 'kolaborasi', 'benah', 'masalah', 'jakarta', 'anies', 'jabat', 'program', 'anies', 'kerap', 'kali', 'jalan']"
99,saya seorang petugas penunjang medis di rsud jakarta anak saya sakit bawa ke ugd sampai di rawat urusan administrasi ambil obat anter urine foto copy yg diperlukan urus sendiri kan anak kita yg sakit petugas juga terbatas berkorban lah,"['saya', 'seorang', 'petugas', 'penunjang', 'medis', 'di', 'rsud', 'jakarta', 'anak', 'saya', 'sakit', 'bawa', 'ke', 'ugd', 'sampai', 'di', 'rawat', 'urusan', 'administrasi', 'ambil', 'obat', 'anter', 'urine', 'foto', 'copy', 'yg', 'diperlukan', 'urus', 'sendiri', 'kan', 'anak', 'kita', 'yg', 'sakit', 'petugas', 'juga', 'terbatas', 'berkorban', 'lah']","['petugas', 'penunjang', 'medis', 'rsud', 'jakarta', 'anak', 'sakit', 'bawa', 'ugd', 'rawat', 'urusan', 'administrasi', 'ambil', 'obat', 'anter', 'urine', 'foto', 'copy', 'urus', 'anak', 'sakit', 'petugas', 'terbatas', 'berkorban']","['petugas', 'penunjang', 'medis', 'rsud', 'jakarta', 'anak', 'sakit', 'bawa', 'ugd', 'rawat', 'urusan', 'administrasi', 'ambil', 'obat', 'anter', 'urine', 'foto', 'copy', 'urus', 'anak', 'sakit', 'petugas', 'terbatas', 'berkorban']","['tugas', 'tunjang', 'medis', 'rsud', 'jakarta', 'anak', 'sakit', 'bawa', 'ugd', 'rawat', 'urus', 'administrasi', 'ambil', 'obat', 'anter', 'urine', 'foto', 'copy', 'urus', 'anak', 'sakit', 'tugas', 'batas', 'korban']"
